experiment_name,assignment_strategy,n_robots,max_number_of_targets,learning_rate,discount_factor,seed,mean_path_length,mean_distance_to_a_target,time_taken,steps_taken
main_experiment,random,6,6,0.9,0.99,1,38.05555555555556,32.1,9.648510694503784,92
main_experiment,random,6,6,0.9,0.99,2,35.083333333333336,29.6,9.213843584060669,89
main_experiment,random,6,6,0.9,0.99,3,35.69444444444444,32.5,8.369893312454224,88
main_experiment,random,6,7,0.9,0.99,1,29.75,29.4,9.50132155418396,90
main_experiment,random,6,7,0.9,0.99,2,15.222222222222223,22.3,9.30518627166748,68
main_experiment,random,6,7,0.9,0.99,3,45.055555555555564,39.0,10.123430013656616,96
main_experiment,random,6,8,0.9,0.99,1,17.77777777777778,25.4,10.953497409820557,79
main_experiment,random,6,8,0.9,0.99,2,27.291666666666668,27.6,12.03907299041748,81
main_experiment,random,6,8,0.9,0.99,3,40.0,37.5,9.35536503791809,96
main_experiment,random,6,9,0.9,0.99,1,37.25,38.4,9.791001081466675,108
main_experiment,random,6,9,0.9,0.99,2,41.833333333333336,35.9,9.598348379135132,92
main_experiment,random,6,9,0.9,0.99,3,40.43333333333333,38.3,10.15995192527771,117
main_experiment,random,6,10,0.9,0.99,1,51.94444444444445,47.5,10.907720804214478,109
main_experiment,random,6,10,0.9,0.99,2,24.208333333333332,27.0,11.299998760223389,86
main_experiment,random,6,10,0.9,0.99,3,54.208333333333336,46.1,11.5761137008667,118
main_experiment,random,7,1,0.9,0.99,1,13.523809523809524,15.5,5.3433074951171875,199
main_experiment,random,7,1,0.9,0.99,2,11.119047619047619,15.7,5.508128881454468,200
main_experiment,random,7,1,0.9,0.99,3,15.5,15.0,5.127994060516357,178
main_experiment,random,7,2,0.9,0.99,1,17.595238095238095,17.4,5.584863901138306,124
main_experiment,random,7,2,0.9,0.99,2,15.785714285714286,19.4,6.099334001541138,139
main_experiment,random,7,2,0.9,0.99,3,12.476190476190476,16.9,5.608496427536011,133
main_experiment,random,7,3,0.9,0.99,1,19.666666666666664,26.6,7.134169578552246,143
main_experiment,random,7,3,0.9,0.99,2,15.023809523809522,20.1,9.158446550369263,130
main_experiment,random,7,3,0.9,0.99,3,16.940476190476193,17.8,5.987024784088135,112
main_experiment,random,7,4,0.9,0.99,1,27.97142857142857,26.3,7.4969542026519775,114
main_experiment,random,7,4,0.9,0.99,2,14.619047619047619,15.4,6.645512342453003,89
main_experiment,random,7,4,0.9,0.99,3,21.214285714285715,22.8,7.364256858825684,97
main_experiment,random,7,5,0.9,0.99,1,24.071428571428573,26.6,8.10403037071228,113
main_experiment,random,7,5,0.9,0.99,2,22.142857142857142,23.7,6.955408334732056,92
main_experiment,random,7,5,0.9,0.99,3,29.642857142857142,27.9,7.579988241195679,97
main_experiment,random,7,6,0.9,0.99,1,44.023809523809526,38.4,8.554327726364136,113
main_experiment,random,7,6,0.9,0.99,2,14.833333333333334,20.2,7.85186767578125,82
main_experiment,random,7,6,0.9,0.99,3,14.880952380952381,22.5,8.23435091972351,89
main_experiment,random,7,7,0.9,0.99,1,32.13095238095238,37.0,8.874498844146729,114
main_experiment,random,7,7,0.9,0.99,2,23.357142857142858,26.1,8.033239841461182,66
main_experiment,random,7,7,0.9,0.99,3,21.571428571428573,27.0,9.023604393005371,93
main_experiment,random,7,8,0.9,0.99,1,26.928571428571427,31.09090909090909,9.42285966873169,75
main_experiment,random,7,8,0.9,0.99,2,43.73809523809524,40.8,8.977039813995361,112
main_experiment,random,7,8,0.9,0.99,3,25.678571428571427,33.9,10.381996154785156,103
main_experiment,random,7,9,0.9,0.99,1,29.785714285714285,38.6,11.051544666290283,129
main_experiment,random,7,9,0.9,0.99,2,36.76190476190476,35.7,10.649489879608154,83
main_experiment,random,7,9,0.9,0.99,3,37.642857142857146,45.0,11.254329204559326,115
main_experiment,random,7,10,0.9,0.99,1,11.5,15.5,12.239674806594849,63
main_experiment,random,7,10,0.9,0.99,2,37.595238095238095,34.5,10.72899079322815,84
main_experiment,random,7,10,0.9,0.99,3,43.57142857142857,40.7,12.934770822525024,97
main_experiment,random,8,1,0.9,0.99,1,12.8125,19.2,5.378894329071045,245
main_experiment,random,8,1,0.9,0.99,2,13.375,18.0,5.938817501068115,236
main_experiment,random,8,1,0.9,0.99,3,15.0,21.8,5.5812087059021,296
main_experiment,random,8,2,0.9,0.99,1,9.75,14.5,6.095670700073242,143
main_experiment,random,8,2,0.9,0.99,2,13.8125,16.5,6.625564098358154,125
main_experiment,random,8,2,0.9,0.99,3,16.020833333333336,17.7,6.96232271194458,144
main_experiment,random,8,3,0.9,0.99,1,15.354166666666668,17.8,7.062018632888794,108
main_experiment,random,8,3,0.9,0.99,2,15.1875,16.1,6.607187747955322,105
main_experiment,random,8,3,0.9,0.99,3,22.125,23.2,5.953467845916748,123
main_experiment,random,8,4,0.9,0.99,1,17.333333333333332,21.1,7.228247404098511,105
main_experiment,random,8,4,0.9,0.99,2,8.40625,12.4,7.088470220565796,73
main_experiment,random,8,4,0.9,0.99,3,23.8125,25.0,6.654525518417358,104
